,id,name,short_name,square,population,population_density,square_housing_stock,living_square_per_person
82,83,Раменки,ЗАО,"18,54",141 754,7645.85,"3511,2",27
83,84,Ростокино,СВАО,"3,54",39 961,11288.42,"732,8","19,7"
84,85,Рязанский,ЮВАО,"6,49",110 533,17031.28,"2025,9","19,9"
85,86,Савёлки,ЗелАО,"8,13",34 647,4261.62,695,"21,4"
86,87,Савёловский,САО,"2,7",60 079,22251.48,1120,"19,2"
87,88,Свиблово,СВАО,"4,41",62 401,14149.89,"956,1","15,9"
88,89,Северное Бутово,ЮЗАО,"9,13",96 753,10597.26,1751,20
89,90,Северное Измайлово,ВАО,"4,2",87 853,20917.38,"1624,3","19,1"
90,91,Северное Медведково,СВАО,"5,66",128 028,22619.79,1764,"14,5"
91,92,Северное Тушино,СЗАО,"9,4",164 120,17459.57,"2665,5","17,4"
92,93,Северный,СВАО,"10,29",39 030,3793.0,620,"22,2"
93,94,Силино,ЗелАО,"10,4",40 425,3887.02,765.0,"19,8"
94,95,Сокол,САО,"3,72",58 270,15663.98,"1163,5","20,2"
95,96,Соколиная Гора,ВАО,"7,84",91 484,11668.88,1422,"16,3"
96,97,Сокольники,ВАО,"10,28",60 756,5910.12,"1247,2","21,7"
97,98,Солнцево,ЗАО,"11,29",126 081,11167.49,"2058,4","17,7"
98,99,Старое Крюково,ЗелАО,"3,81",31 803,8347.24,566,"19,7"
99,100,Строгино,СЗАО,"16,84",159 134,9449.76,"2406,2","15,8"
100,101,Таганский,ЦАО,"8,01",123 382,15403.5,"2380,6","20,5"
101,102,Тверской,ЦАО,"7,27",77 091,10603.99,"1253,3","16,4"
102,103,Текстильщики,ЮВАО,"5,92",104 955,17728.89,"1638,7","16,3"
103,104,Тёплый Стан,ЮЗАО,"7,5",133 368,17782.4,"2406,4","19,1"
104,105,Тимирязевский,САО,"10,43",82 510,7910.83,"1836,2","22,2"
105,106,Тропарёво-Никулино,ЗАО,"11,27",122 663,10884.03,"2895,2","24,4"
106,107,Филёвский Парк,ЗАО,"9,62",94 450,9818.09,"1605,9","19,9"
